(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(8, 1)
(9, 1)
(10, 1)
(11, 1)
(11, 2)
(11, 3)
(11, 4)
(11, 5)
(12, 5)
(12, 4)
(12, 3)
(13, 3)
(13, 2)
(13, 1)
(14, 1)
(15, 1)
(15, 0)
(16, 0)
(17, 0)
(17, 1)
(18, 1)
(19, 1)
(20, 1)
(20, 0)
(21, 0)
(22, 0)
(23, 0)
(23, 1)
(23, 2)
(24, 2)
(24, 1)
(24, 0)
(25, 0)
(26, 0)
(26, 1)
(26, 2)
(26, 3)
(27, 3)
(27, 2)
(27, 1)
(28, 1)
(29, 1)
(30, 1)
(30, 0)
(31, 0)
(32, 0)
(32, 1)
(33, 1)
(34, 1)
(35, 1)
(36, 1)
(37, 1)
(38, 1)
(39, 1)
(40, 1)
(41, 1)
(41, 0)
(42, 0)
(43, 0)
(44, 0)
(45, 0)
(45, 1)
(44, 1)
(44, 2)
(45, 2)
(46, 2)
(46, 1)
(46, 0)
(47, 0)
(48, 0)
(49, 0)
(49, 1)
(49, 2)
(49, 3)
(49, 4)
(48, 4)
(47, 4)
(46, 4)
(46, 5)
(46, 6)
(45, 6)
(44, 6)
(44, 7)
(44, 8)
(43, 8)
(43, 9)
(43, 10)
(43, 11)
(42, 11)
(42, 12)
(42, 13)
(41, 13)
(41, 12)
(40, 12)
(40, 13)
(39, 13)
(38, 13)
(37, 13)
(37, 14)
(38, 14)
(39, 14)
(39, 15)
(40, 15)
(40, 16)
(40, 17)
(39, 17)
(39, 18)
(39, 19)
(40, 19)
(40, 20)
(40, 21)
(40, 22)
(39, 22)
(39, 23)
(39, 24)
(39, 25)
(40, 25)
(40, 26)
(40, 27)
(41, 27)
(41, 28)
(41, 29)
(40, 29)
(39, 29)
(38, 29)
(38, 30)
(37, 30)
(37, 31)
(37, 32)
(36, 32)
(35, 32)
(34, 32)
(34, 33)
(34, 34)
(35, 34)
(35, 35)
(36, 35)
(36, 36)
(37, 36)
(37, 37)
(37, 38)
(38, 38)
(38, 37)
(39, 37)
(39, 36)
(40, 36)
(40, 37)
(40, 38)
(41, 38)
(42, 38)
(43, 38)
(44, 38)
(44, 39)
(44, 40)
(44, 41)
(43, 41)
(43, 42)
(43, 43)
(44, 43)
(45, 43)
(45, 44)
(46, 44)
(46, 45)
(47, 45)
(48, 45)
(48, 46)
(48, 47)
(49, 47)
(49, 48)
(49, 49)
