(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(5, 1)
(6, 1)
(6, 0)
(7, 0)
(7, 1)
(8, 1)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(11, 1)
(12, 1)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(15, 1)
(16, 1)
(17, 1)
(17, 0)
(18, 0)
(18, 1)
(19, 1)
(19, 0)
(20, 0)
(21, 0)
(22, 0)
(23, 0)
(23, 1)
(24, 1)
(24, 2)
(25, 2)
(26, 2)
(27, 2)
(27, 3)
(28, 3)
(28, 2)
(28, 1)
(28, 0)
(29, 0)
(30, 0)
(31, 0)
(32, 0)
(33, 0)
(34, 0)
(35, 0)
(36, 0)
(36, 1)
(37, 1)
(37, 0)
(38, 0)
(39, 0)
(40, 0)
(40, 1)
(41, 1)
(42, 1)
(42, 0)
(43, 0)
(44, 0)
(44, 1)
(45, 1)
(46, 1)
(46, 0)
(47, 0)
(47, 1)
(48, 1)
(49, 1)
(49, 0)
(50, 0)
(51, 0)
(52, 0)
(53, 0)
(54, 0)
(54, 1)
(55, 1)
(55, 2)
(55, 3)
(55, 4)
(56, 4)
(56, 3)
(57, 3)
(57, 2)
(58, 2)
(58, 3)
(58, 4)
(57, 4)
(57, 5)
(58, 5)
(59, 5)
(59, 6)
(59, 7)
(59, 8)
(59, 9)
(58, 9)
(58, 10)
(58, 11)
(58, 12)
(59, 12)
(60, 12)
(61, 12)
(61, 13)
(61, 14)
(60, 14)
(60, 15)
(61, 15)
(61, 16)
(62, 16)
(62, 17)
(62, 18)
(62, 19)
(62, 20)
(63, 20)
(63, 21)
(64, 21)
(65, 21)
(65, 22)
(65, 23)
(66, 23)
(67, 23)
(68, 23)
(68, 24)
(68, 25)
(68, 26)
(67, 26)
(67, 27)
(67, 28)
(68, 28)
(68, 29)
(68, 30)
(69, 30)
(69, 31)
(70, 31)
(70, 32)
(71, 32)
(71, 33)
(71, 34)
(72, 34)
(72, 35)
(73, 35)
(73, 36)
(73, 37)
(74, 37)
(75, 37)
(75, 38)
(75, 39)
(76, 39)
(76, 40)
(76, 41)
(77, 41)
(78, 41)
(79, 41)
(79, 42)
(80, 42)
(80, 43)
(80, 44)
(81, 44)
(81, 43)
(82, 43)
(82, 44)
(82, 45)
(82, 46)
(81, 46)
(81, 47)
(82, 47)
(83, 47)
(83, 48)
(83, 49)
(83, 50)
(84, 50)
(84, 49)
(85, 49)
(85, 50)
(85, 51)
(86, 51)
(87, 51)
(87, 52)
(86, 52)
(86, 53)
(87, 53)
(87, 54)
(87, 55)
(86, 55)
(85, 55)
(85, 56)
(85, 57)
(84, 57)
(84, 58)
(84, 59)
(84, 60)
(83, 60)
(83, 61)
(83, 62)
(84, 62)
(84, 63)
(83, 63)
(83, 64)
(83, 65)
(84, 65)
(84, 66)
(85, 66)
(85, 67)
(86, 67)
(86, 68)
(87, 68)
(88, 68)
(88, 69)
(89, 69)
(89, 70)
(90, 70)
(91, 70)
(92, 70)
(92, 71)
(92, 72)
(93, 72)
(93, 71)
(94, 71)
(95, 71)
(95, 72)
(95, 73)
(96, 73)
(97, 73)
(98, 73)
(98, 74)
(97, 74)
(97, 75)
(98, 75)
(99, 75)
(99, 76)
(99, 77)
(99, 78)
(98, 78)
(97, 78)
(97, 79)
(97, 80)
(97, 81)
(97, 82)
(96, 82)
(96, 83)
(97, 83)
(97, 84)
(97, 85)
(96, 85)
(96, 86)
(97, 86)
(98, 86)
(98, 87)
(97, 87)
(96, 87)
(95, 87)
(95, 88)
(96, 88)
(97, 88)
(98, 88)
(98, 89)
(97, 89)
(96, 89)
(96, 90)
(95, 90)
(95, 91)
(94, 91)
(94, 92)
(95, 92)
(95, 93)
(95, 94)
(96, 94)
(97, 94)
(98, 94)
(98, 95)
(98, 96)
(99, 96)
(99, 97)
(99, 98)
(99, 99)
